Borough,Stop Name,Daytime Routes
B,Bay Pkwy,F
B,Avenue N,F
B,Avenue P,F
B,Kings Hwy,F
B,Avenue U,F
B,Avenue X,F
B,Neptune Av,F
Q,Jamaica-179 St,F
Q,169 St,F
Q,Parsons Blvd,F
Q,Sutphin Blvd,F
Q,Briarwood,E F
Q,Kew Gardens-Union Tpke,E F
Q,75 Av,E F
Q,Forest Hills-71 Av,E F M R
Q,67 Av,M R
Q,63 Dr-Rego Park,M R
Q,Woodhaven Blvd,M R
Q,Grand Av-Newtown,M R
Q,Elmhurst Av,M R
Q,Jackson Hts-Roosevelt Av/74 St-Broadway,7 E F M R
Q,65 St,M R
Q,Northern Blvd,M R
Q,46 St,M R
Q,Steinway St,M R
Q,36 St,M R
Q,Queens Plaza,E M R
Q,Court Sq-23 St,7 E M G
M,Lexington Av/51-53 Sts,6 E M
Q,Lexington Av/51-53 Sts,6 E M
M,5 Av/53 St,E M
M,7 Av,E B D
Q,Jamaica Center-Parsons/Archer,E J Z
Q,Sutphin Blvd-Archer Av-JFK Airport,E J Z
Q,Jamaica-Van Wyck,E
Q,21 St,G
B,Nassau Av,G
B,Broadway,G
B,Flushing Av,G
B,Myrtle-Willoughby Avs,G
B,Bedford-Nostrand Avs,G
B,Classon Av,G
B,Clinton-Washington Avs,G
B,Fulton St,G
Bx,Van Cortlandt Park-242 St,1
Bx,238 St,1
Bx,231 St,1
M,Marble Hill-225 St,1
M,215 St,1
M,207 St,1
M,Dyckman St,1
M,191 St,1
M,181 St,1
M,157 St,1
M,145 St,1
M,137 St-City College,1
M,125 St,1
M,116 St-Columbia University,1
M,Cathedral Pkwy (110 St),1
M,103 St,1
M,96 St,1 2 2003
M,86 St,1
M,79 St,1
M,72 St,1 2 2003
M,66 St-Lincoln Center,1
M,50 St,1
M,Times Sq-42 St,1 2 3 7 A C E N Q R W S
M,34 St-Penn Station,1 2 2003
M,28 St,1
M,23 St,1
M,18 St,1
M,Christopher St-Stonewall,1
M,Houston St,1
M,Canal St,1
M,Franklin St,1
M,Chambers St,1 2 2003
M,WTC Cortlandt,1
M,Rector St,1
M,Wall St,2 3
B,Clark St,2 3
B,Hoyt St,2 3
B,Nevins St,2 3 4 5
B,Bergen St,2 3
B,Grand Army Plaza,2 3
B,Eastern Pkwy-Brooklyn Museum,2 3
B,Nostrand Av,3
B,Kingston Av,3
B,Crown Hts-Utica Av,3 4
B,Sutter Av-Rutland Rd,3
B,Saratoga Av,3
B,Rockaway Av,3
B,Junius St,3
B,Pennsylvania Av,3
B,Van Siclen Av,3
B,New Lots Av,3
B,President St-Medgar Evers College,2 5
B,Sterling St,2 5
B,Winthrop St,2 5
B,Church Av,2 5
B,Beverly Rd,2 5
B,Newkirk Av-Little Haiti,2 5
B,Flatbush Av-Brooklyn College,2 5
Bx,Pelham Bay Park,6
Bx,Buhre Av,6
Bx,Middletown Rd,6
Bx,Westchester Sq-E Tremont Av,6
Bx,Zerega Av,6
Bx,Castle Hill Av,6
Bx,Parkchester,6
Bx,St Lawrence Av,6
Bx,Morrison Av-Soundview,6
Bx,Elder Av,6
Bx,Whitlock Av,6
Bx,Hunts Point Av,6
Bx,Longwood Av,6
Bx,E 149 St,6
Bx,E 143 St-St Mary's St,6
Bx,Cypress Av,6
Bx,Brook Av,6
Bx,3 Av-138 St,6
Bx,Woodlawn,4
Bx,Mosholu Pkwy,4
Bx,Bedford Park Blvd-Lehman College,4
Bx,Kingsbridge Rd,4
Bx,Fordham Rd,4
Bx,183 St,4
Bx,Burnside Av,4
Bx,176 St,4
Bx,Mt Eden Av,4
Bx,170 St,4
Bx,167 St,4
Bx,149 St-Grand Concourse,2 4 2005
Bx,138 St-Grand Concourse,4 5
M,125 St,4 5 2006
M,116 St,6
M,110 St,6
M,103 St,6
M,96 St,6
M,86 St,4 5 2006
M,86 Street,4 5 2006
M,77 St,6
M,68 St-Hunter College,6
M,Grand Central-42 St,4 5 6 7 S
M,33 St,6
M,28 St,6
M,23 St,6
M,Astor Pl,6
M,Spring St,6
M,Wall St,4 5
M,Bowling Green,4 5
Bx,Wakefield-241 St,2
Bx,Nereid Av,2 5
Bx,233 St,2 5
Bx,225 St,2 5
Bx,219 St,2 5
Bx,Gun Hill Rd,2 5
Bx,Burke Av,2 5
Bx,Allerton Av,2 5
Bx,Pelham Pkwy,2 5
Bx,Bronx Park East,2 5
Bx,E 180 St,2 5
Bx,West Farms Sq-E Tremont Av,2 5
Bx,174 St,2 5
Bx,Freeman St,2 5
Bx,Simpson St,2 5
Bx,Intervale Av,2 5
Bx,Prospect Av,2 5
Bx,Jackson Av,2 5
Bx,3 Av-149 St,2 5
M,Harlem-148 St,3
M,145 St,3
M,135 St,2 3
M,125 St,2 3
M,116 St,2 3
M,Central Park North (110 St),2 3
Bx,Eastchester-Dyre Av,5
Bx,Baychester Av,5
Bx,Gun Hill Rd,5
Bx,Pelham Pkwy,5
Bx,Morris Park,5
Q,Flushing-Main St,7
Q,Mets-Willets Point,7
Q,111 St,7
Q,103 St-Corona Plaza,7
Q,Junction Blvd,7
Q,90 St-Elmhurst Av,7
Q,82 St-Jackson Hts,7
Q,69 St,7
Q,61 St-Woodside,7
Q,52 St,7
Q,46 St-Bliss St,7
Q,40 St-Lowery St,7
Q,33 St-Rawson St,7
Q,Queensboro Plaza,7 N W
Q,Hunters Point Av,7
Q,Vernon Blvd-Jackson Av,7
M,34 St-Hudson Yards,7
M,34 St - Hudson Yards,7
M,96 St,Q
M,86 St,Q
M,72 St,Q
SI,St George,SIR
SI,Tompkinsville,SIR
SI,Stapleton,SIR
SI,Clifton,SIR
SI,Grasmere,SIR
SI,Old Town,SIR
SI,Dongan Hills,SIR
SI,Dongan Hill,SIR
SI,Jefferson Av,SIR
SI,Grant City,SIR
SI,New Dorp,SIR
SI,Oakwood Heights,SIR
SI,Bay Terrace,SIR
SI,Great Kills,SIR
SI,Eltingville,SIR
SI,Annadale,SIR
SI,Huguenot,SIR
SI,Prince's Bay,SIR
SI,Pleasant Plains,SIR
SI,Richmond Valley,SIR
SI,Arthur Kill,SIR
SI,Tottenville,SIR
